会社名,都道府県,市区町村,業種,担当者名,役職,メールアドレス,電話番号,課題メモ,優先度
ムネカタ株式会社,福島県,福島市,製造業,担当者未確認,,koya.fujisawa@ttsystems.com,024-000-0000,【テスト】生成AI導入済み・さらなる自動化ニーズあり,A
鈴屋金物株式会社,宮城県,仙台市,建設資材,担当者未確認,,koya.fujisawa@ttsystems.com,022-000-0000,【テスト】業務効率化DX実施済み・次のステップを検討中,A
株式会社高山,宮城県,塩竈市,DX支援,担当者未確認,,info@takayama.co.jp,022-000-0001,DX伴走支援を実施・パートナー候補,B
青森つばめプロパン販売株式会社,青森県,八戸市,エネルギー,担当者未確認,,info@tsubame-propane.co.jp,0178-000-0000,IoT導入済み・AI予測配送へのアップセル余地,A
株式会社北陸精機,富山県,富山市,製造業（精密部品）,担当者未確認,,info@hokuriku-seiki.co.jp,076-000-0000,熟練技術者不足・品質検査自動化ニーズ,A
金沢建設工業株式会社,石川県,金沢市,建設業,担当者未確認,,info@kanazawa-kensetsu.co.jp,076-000-0001,見積作成・工程管理のデジタル化ニーズ,B
越後食品株式会社,新潟県,新潟市,食品製造,担当者未確認,,info@echigo-food.co.jp,025-000-0000,需要予測・在庫最適化ニーズ,B
岩手物流サービス株式会社,岩手県,盛岡市,物流,担当者未確認,,info@iwate-logistics.co.jp,019-000-0000,配送ルート最適化・ドライバー不足,A
福井繊維工業株式会社,福井県,福井市,製造業（繊維）,担当者未確認,,info@fukui-seni.co.jp,0776-000-0000,生産ライン自動化・品質管理AI,B
秋田農業協同組合,秋田県,秋田市,農業・食品,担当者未確認,,info@akita-nokyo.jp,018-000-0000,収穫量予測・スマート農業導入,C
